steps,tol,valid_prob,almost_valid_prob,time,best_valid,best_almost_valid
3,0.001,5225,378,423.0196008682251,True,False
3,0.001,2225,587,358.1218090057373,True,False
3,0.001,1234,2077,154.33103108406067,False,True
3,0.001,2432,1852,177.17083716392517,True,False
3,0.001,2441,1754,270.8707048892975,True,False
3,0.001,549,1887,96.25326991081238,False,False
3,0.001,2455,1737,193.40450406074524,True,False
3,0.001,4561,358,206.0550389289856,True,False
3,0.001,4789,703,108.35363936424255,True,False
3,0.001,7768,208,309.8677990436554,True,False
3,0.001,3414,641,397.4837670326233,True,False
3,0.001,1502,2039,196.92570686340332,False,True
3,0.001,4429,449,138.85579800605774,True,False
3,0.001,4321,966,153.95909786224365,True,False
3,0.001,4461,359,123.17244005203247,True,False
3,0.001,4543,343,149.24006986618042,True,False
3,0.001,2259,2754,289.65393590927124,False,True
3,0.001,5086,652,207.82663702964783,True,False
3,0.001,5414,607,178.4965102672577,True,False
3,0.001,3219,1719,170.1611602306366,True,False
3,0.001,1480,1802,222.22491908073425,False,True
3,0.001,707,2068,369.4736478328705,False,True
3,0.001,2038,1434,171.26341724395752,True,False
3,0.001,2725,718,338.95024275779724,True,False
3,0.001,899,1909,273.0240161418915,False,True
3,0.001,2398,1823,284.57308411598206,True,False
3,0.001,4964,668,141.04151391983032,True,False
